# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'L1-dcache-load-misses'
# Event count (approx.): 125646091
#
# Overhead  Command    Shared Object      Symbol                                        
# ........  .........  .................  ..............................................
#
    40.25%  diag_mult  diag_mult          [.] dummy_reference
    40.25%  diag_mult  diag_mult          [.] reference
    17.11%  diag_mult  diag_mult          [.] singleThread
     0.77%  diag_mult  [kernel.kallsyms]  [k] clear_page_erms
     0.26%  diag_mult  [kernel.kallsyms]  [k] _raw_spin_lock
     0.22%  diag_mult  [kernel.kallsyms]  [k] try_charge
     0.16%  diag_mult  [kernel.kallsyms]  [k] get_page_from_freelist
     0.11%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.08%  diag_mult  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.07%  diag_mult  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.07%  diag_mult  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.06%  diag_mult  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.06%  diag_mult  [kernel.kallsyms]  [k] __handle_mm_fault
     0.05%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_commit
     0.04%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_prepare.part.65
     0.03%  diag_mult  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.03%  diag_mult  [kernel.kallsyms]  [k] pfn_pte
     0.02%  diag_mult  [kernel.kallsyms]  [k] unmap_page_range
     0.02%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_list
     0.02%  diag_mult  [kernel.kallsyms]  [k] pmd_pfn
     0.02%  diag_mult  [kernel.kallsyms]  [k] page_remove_rmap
     0.02%  diag_mult  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.02%  diag_mult  [kernel.kallsyms]  [k] page_counter_try_charge
     0.02%  diag_mult  [kernel.kallsyms]  [k] release_pages
     0.02%  diag_mult  [kernel.kallsyms]  [k] uncharge_page
     0.01%  diag_mult  [kernel.kallsyms]  [k] page_fault
     0.01%  diag_mult  diag_mult          [.] main
     0.01%  diag_mult  [kernel.kallsyms]  [k] alloc_pages_vma
     0.01%  diag_mult  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.01%  diag_mult  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.01%  diag_mult  [kernel.kallsyms]  [k] free_pcp_prepare
     0.01%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_page_lruvec
     0.01%  diag_mult  ld-2.27.so         [.] do_lookup_x
     0.01%  diag_mult  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.01%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.01%  diag_mult  [kernel.kallsyms]  [k] __dec_node_state
     0.01%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_uncharge_list
     0.01%  diag_mult  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.01%  diag_mult  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.01%  diag_mult  ld-2.27.so         [.] _dl_relocate_object
     0.00%  diag_mult  ld-2.27.so         [.] _dl_lookup_symbol_x
     0.00%  diag_mult  [kernel.kallsyms]  [k] irq_enter
     0.00%  diag_mult  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.00%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.00%  diag_mult  [kernel.kallsyms]  [k] update_cfs_group
     0.00%  diag_mult  [kernel.kallsyms]  [k] down_write
     0.00%  diag_mult  [kernel.kallsyms]  [k] handle_mm_fault
     0.00%  diag_mult  [kernel.kallsyms]  [k] __do_page_fault
     0.00%  diag_mult  [kernel.kallsyms]  [k] sync_regs
     0.00%  diag_mult  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.00%  diag_mult  [kernel.kallsyms]  [k] up_read
     0.00%  diag_mult  [kernel.kallsyms]  [k] copy_page
     0.00%  diag_mult  libc-2.27.so       [.] _dl_addr
     0.00%  diag_mult  [kernel.kallsyms]  [k] memcg_check_events
     0.00%  diag_mult  [kernel.kallsyms]  [k] __indirect_thunk_start
     0.00%  diag_mult  [kernel.kallsyms]  [k] __inc_numa_state
     0.00%  diag_mult  [kernel.kallsyms]  [k] __lru_cache_add
     0.00%  diag_mult  [kernel.kallsyms]  [k] native_flush_tlb
     0.00%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics
     0.00%  diag_mult  [kernel.kallsyms]  [k] error_entry
     0.00%  diag_mult  [kernel.kallsyms]  [k] unmapped_area_topdown
     0.00%  diag_mult  [kernel.kallsyms]  [k] vmacache_find
     0.00%  diag_mult  [kernel.kallsyms]  [k] scheduler_tick
     0.00%  diag_mult  [kernel.kallsyms]  [k] native_write_msr
     0.00%  diag_mult  [kernel.kallsyms]  [k] rcu_all_qs
     0.00%  diag_mult  [kernel.kallsyms]  [k] prepend_path
     0.00%  diag_mult  [kernel.kallsyms]  [k] __mod_node_page_state
     0.00%  diag_mult  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.00%  diag_mult  [kernel.kallsyms]  [k] perf_event_mmap_output
     0.00%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.00%  diag_mult  ld-2.27.so         [.] _dl_load_cache_lookup
     0.00%  diag_mult  [kernel.kallsyms]  [k] account_user_time
     0.00%  diag_mult  [kernel.kallsyms]  [k] rcu_check_callbacks
     0.00%  diag_mult  [kernel.kallsyms]  [k] error_exit
     0.00%  diag_mult  [kernel.kallsyms]  [k] irq_exit
     0.00%  diag_mult  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.00%  diag_mult  [kernel.kallsyms]  [k] kmem_cache_alloc
     0.00%  diag_mult  [kernel.kallsyms]  [k] timerqueue_add
     0.00%  diag_mult  [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  diag_mult  [kernel.kallsyms]  [k] policy_nodemask
     0.00%  diag_mult  [kernel.kallsyms]  [k] notifier_call_chain
     0.00%  diag_mult  [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  diag_mult  [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%  diag_mult  [kernel.kallsyms]  [k] __page_set_anon_rmap
