# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 734K of event 'L1-dcache-load-misses'
# Event count (approx.): 2587119064
#
# Overhead  Command    Shared Object      Symbol                                        
# ........  .........  .................  ..............................................
#
    42.68%  diag_mult  diag_mult          [.] dummy_reference
    42.56%  diag_mult  diag_mult          [.] reference
    13.00%  diag_mult  diag_mult          [.] singleThread
     0.60%  diag_mult  [kernel.kallsyms]  [k] clear_page_erms
     0.22%  diag_mult  [kernel.kallsyms]  [k] _raw_spin_lock
     0.18%  diag_mult  [kernel.kallsyms]  [k] try_charge
     0.12%  diag_mult  [kernel.kallsyms]  [k] get_page_from_freelist
     0.08%  diag_mult  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.06%  diag_mult  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.06%  diag_mult  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.04%  diag_mult  [kernel.kallsyms]  [k] __handle_mm_fault
     0.03%  diag_mult  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.03%  diag_mult  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.02%  diag_mult  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.02%  diag_mult  [kernel.kallsyms]  [k] pfn_pte
     0.02%  diag_mult  [kernel.kallsyms]  [k] release_pages
     0.01%  diag_mult  [kernel.kallsyms]  [k] pmd_pfn
     0.01%  diag_mult  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.01%  diag_mult  [kernel.kallsyms]  [k] page_counter_try_charge
     0.01%  diag_mult  [kernel.kallsyms]  [k] _vm_normal_page
     0.01%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_commit
     0.01%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_list
     0.01%  diag_mult  [kernel.kallsyms]  [k] free_unref_page_prepare.part.65
     0.01%  diag_mult  [kernel.kallsyms]  [k] rcu_check_callbacks
     0.01%  diag_mult  [kernel.kallsyms]  [k] page_remove_rmap
     0.01%  diag_mult  diag_mult          [.] main
     0.01%  diag_mult  [kernel.kallsyms]  [k] alloc_pages_vma
     0.01%  diag_mult  [kernel.kallsyms]  [k] account_user_time
     0.01%  diag_mult  [kernel.kallsyms]  [k] uncharge_page
     0.01%  diag_mult  [kernel.kallsyms]  [k] page_fault
     0.01%  diag_mult  [kernel.kallsyms]  [k] unmap_page_range
     0.01%  diag_mult  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  diag_mult  [kernel.kallsyms]  [k] trigger_load_balance
     0.00%  diag_mult  [kernel.kallsyms]  [k] sync_regs
